index,Connectivity,Matrix,Adj List
737,737,0.001659,0.004262
738,738,0.002064,0.004708
739,739,0.001818,0.015515
740,740,0.001709,0.004039
741,741,0.001766,0.004195
742,742,0.001849,0.010135
743,743,0.002768,0.012878
744,744,0.001779,0.004861
745,745,0.003672,0.005162
746,746,0.001896,0.005108
747,747,0.001792,0.004666
748,748,0.001688,0.020258
749,749,0.012801,0.015132
750,750,0.001765,0.014565
751,751,0.001711,0.014652
752,752,0.013771,0.005545
753,753,0.001690,0.011544
754,754,0.001909,0.005059
755,755,0.001901,0.005375
756,756,0.001929,0.005566
757,757,0.001985,0.005534
758,758,0.003845,0.012566
759,759,0.000957,0.002082
760,760,0.000920,0.002719
761,761,0.000906,0.002410
762,762,0.000895,0.002515
763,763,0.000889,0.002507
764,764,0.000931,0.002935
765,765,0.000955,0.002952
766,766,0.000912,0.002512
767,767,0.000921,0.002885
768,768,0.000916,0.002524
769,769,0.000923,0.002853
770,770,0.000930,0.002515
771,771,0.000969,0.002515
772,772,0.000931,0.002400
773,773,0.000912,0.002634
774,774,0.000913,0.002579
775,775,0.000896,0.002537
776,776,0.000936,0.002394
777,777,0.000925,0.002377
778,778,0.000915,0.002453
779,779,0.000917,0.002678
780,780,0.000882,0.002053
781,781,0.000953,0.002607
782,782,0.000917,0.002525
783,783,0.000928,0.002622
784,784,0.001220,0.003851
785,785,0.001037,0.002566
786,786,0.000919,0.002548
787,787,0.001750,0.004186
788,788,0.000915,0.002699
789,789,0.000910,0.002681
790,790,0.000901,0.003328
791,791,0.000900,0.002501
792,792,0.000904,0.002532
793,793,0.000920,0.002442
794,794,0.000901,0.002775
795,795,0.001053,0.002588
796,796,0.000923,0.002599
797,797,0.000890,0.002656
798,798,0.000932,0.003143
799,799,0.000947,0.002943
800,800,0.000943,0.002369
801,801,0.000921,0.003171
802,802,0.000917,0.002803
803,803,0.000896,0.002800
804,804,0.000908,0.002739
805,805,0.001351,0.004434
806,806,0.000994,0.002450
807,807,0.000920,0.002988
808,808,0.000924,0.002509
809,809,0.000902,0.002793
810,810,0.000933,0.002698
811,811,0.000922,0.002449
812,812,0.000898,0.002324
813,813,0.000925,0.002823
814,814,0.000927,0.002776
815,815,0.000933,0.002664
816,816,0.000924,0.002791
817,817,0.000915,0.002787
818,818,0.000921,0.002807
819,819,0.000925,0.003125
820,820,0.000940,0.002483
821,821,0.000934,0.003049
822,822,0.000925,0.002740
823,823,0.000924,0.002577
824,824,0.000902,0.002331
825,825,0.000935,0.002572
826,826,0.000926,0.002915
827,827,0.000903,0.002302
828,828,0.000916,0.002800
829,829,0.000931,0.002562
830,830,0.001207,0.002762
831,831,0.000961,0.002729
832,832,0.000953,0.002868
833,833,0.000923,0.002998
834,834,0.000931,0.002704
835,835,0.001161,0.003863
836,836,0.000969,0.002822
837,837,0.000925,0.002874
838,838,0.000918,0.002751
839,839,0.000945,0.002706
840,840,0.000897,0.002605
841,841,0.000909,0.002595
842,842,0.000931,0.002918
843,843,0.000932,0.002917
844,844,0.000910,0.002737
845,845,0.000954,0.002888
846,846,0.000905,0.002433
847,847,0.000920,0.002753
848,848,0.001016,0.002781
849,849,0.000919,0.002625
850,850,0.000942,0.002607
851,851,0.000932,0.002798
852,852,0.000939,0.003276
853,853,0.000928,0.002664
854,854,0.000930,0.003093
855,855,0.001026,0.002802
856,856,0.000940,0.002869
857,857,0.000959,0.002883
858,858,0.000951,0.002684
859,859,0.000930,0.002939
860,860,0.000935,0.002640
861,861,0.000950,0.002747
862,862,0.000913,0.002621
863,863,0.000901,0.002340
864,864,0.000940,0.002940
865,865,0.000927,0.002771
866,866,0.000996,0.002816
867,867,0.000929,0.003053
868,868,0.000956,0.002888
869,869,0.000923,0.002822
870,870,0.000931,0.003313
871,871,0.000932,0.003852
872,872,0.000896,0.002995
873,873,0.000931,0.003122
874,874,0.000966,0.002950
875,875,0.000890,0.002400
876,876,0.000934,0.002953
877,877,0.000932,0.002864
878,878,0.000943,0.003035
879,879,0.000932,0.002561
880,880,0.000939,0.004276
881,881,0.001835,0.005147
882,882,0.000953,0.002762
883,883,0.001073,0.002761
884,884,0.000938,0.003087
885,885,0.000930,0.003061
886,886,0.000940,0.003291
887,887,0.001079,0.002713
888,888,0.000969,0.002964
889,889,0.000893,0.003626
890,890,0.000958,0.002870
891,891,0.000931,0.002534
892,892,0.000926,0.002528
893,893,0.000940,0.003013
894,894,0.000929,0.002465
895,895,0.000948,0.002922
896,896,0.000929,0.002618
897,897,0.000913,0.002581
898,898,0.000950,0.003162
899,899,0.000937,0.002829
900,900,0.000928,0.002686
901,901,0.000931,0.003008
902,902,0.000938,0.002591
903,903,0.000934,0.003557
904,904,0.000935,0.002985
905,905,0.000958,0.002670
906,906,0.000982,0.003749
907,907,0.000944,0.003021
908,908,0.001054,0.003186
909,909,0.000995,0.005339
910,910,0.000945,0.002748
911,911,0.000941,0.002982
912,912,0.000973,0.002735
913,913,0.000921,0.002682
914,914,0.000937,0.002836
915,915,0.000933,0.002724
916,916,0.000936,0.002642
917,917,0.000982,0.002991
918,918,0.000904,0.002486
919,919,0.000966,0.003115
920,920,0.000959,0.002640
921,921,0.000946,0.003031
922,922,0.000938,0.003060
923,923,0.000966,0.002635
924,924,0.000915,0.002745
925,925,0.000913,0.002640
926,926,0.000906,0.002635
927,927,0.000944,0.002543
928,928,0.000919,0.002942
929,929,0.001088,0.003810
930,930,0.000956,0.002855
931,931,0.001383,0.003172
932,932,0.000900,0.003203
933,933,0.000951,0.002940
934,934,0.000911,0.002991
935,935,0.000956,0.003232
936,936,0.000938,0.002979
937,937,0.000916,0.002815
938,938,0.000936,0.003101
939,939,0.000940,0.003199
940,940,0.000935,0.003375
941,941,0.000933,0.003150
942,942,0.001181,0.002902
943,943,0.001151,0.002981
944,944,0.000923,0.003064
945,945,0.000925,0.002755
946,946,0.000935,0.003019
947,947,0.000945,0.003175
948,948,0.001141,0.002880
949,949,0.000923,0.002699
950,950,0.000942,0.003042
951,951,0.000953,0.002953
952,952,0.000940,0.003193
953,953,0.000942,0.002820
954,954,0.000931,0.002576
955,955,0.000923,0.002387
956,956,0.000949,0.002676
957,957,0.000942,0.002450
958,958,0.000953,0.002944
959,959,0.000946,0.003114
960,960,0.000930,0.002845
961,961,0.001296,0.002839
962,962,0.000938,0.002688
963,963,0.000941,0.002645
964,964,0.001021,0.003158
965,965,0.000963,0.003239
966,966,0.000955,0.002883
967,967,0.000987,0.003274
968,968,0.000928,0.002873
969,969,0.000917,0.002708
970,970,0.000922,0.003001
971,971,0.000953,0.002986
972,972,0.000945,0.002940
973,973,0.001742,0.005137
974,974,0.000967,0.003049
975,975,0.000889,0.002523
976,976,0.000943,0.002756
977,977,0.000953,0.003209
978,978,0.000980,0.002967
979,979,0.000944,0.003030
980,980,0.001273,0.003148
981,981,0.000942,0.002867
982,982,0.000951,0.002748
983,983,0.000916,0.002534
984,984,0.000997,0.002931
985,985,0.000936,0.002386
986,986,0.000962,0.003241
987,987,0.000930,0.003083
988,988,0.000957,0.002996
989,989,0.000919,0.003345
990,990,0.000936,0.002883
991,991,0.000938,0.003124
992,992,0.000980,0.002947
993,993,0.000936,0.003021
